26,Mike,"2021-10-04 12:51:06","Emoji's 👍👍🏻👍🏼👍🏽👍🏾👍🏿 ☕☕  🍻 + 🥂  = 🥴   😂🤣💖"
25,Mike,"2021-10-04 12:39:23","All OK, beautiful sunny day, pies for lunch"
24,Margaret,"2021-10-04 12:39:09","All OK"
23,Mike,"2021-10-04 12:39:00",
22,Margaret,"2021-10-04 12:38:13",
21,Margaret,"2021-10-04 12:38:01","All OK"
20,Mike,"2021-10-04 12:37:23",
19,Mike,"2021-10-04 12:35:18","All OK, beautiful sunny day, pies for lunch"
18,Mike,"2021-10-04 10:41:28","Add table to Add screen"
17,Mike,"2021-10-04 10:40:30","All OK"
16,Mike,"2021-10-04 10:18:46","All OK"
15,Mike,"2021-10-04 10:17:07","All OK"
14,Mike,"2021-10-04 10:06:56","All OK"
13,Mike,"2021-10-04 10:03:07","All OK"
12,Mike,"2021-10-04 10:01:14","All OK"
11,Mike,"2021-10-04 09:58:51","All OK"
10,Mike,"2021-10-03 23:20:41",Zzzzzz
9,Murray,"2021-10-03 23:07:13",Waaaaaaaahhhh
8,Mike,"2021-10-03 23:07:04","All OK"
7,Margaret,"2021-10-03 23:06:59","All OK"
6,Margaret,"2021-10-03 23:04:42","All OK"
5,Margaret,"2021-10-03 23:04:11","Everything fine !"
4,Mike,"2021-10-03 23:02:13",
3,Mike,"2021-10-03 22:59:16",Fine
2,Mike,"2021-10-03 22:52:24","OK Chookie - see you soon !"
1,Mike,"2021-10-03 22:51:58","Everything fine !"
