388,Mike,"2022-02-25 23:57:50","<h3>Bobcat Hire Issues:</h3> <br>* Drive to Murray's beach house, unhook trailer from Rav 4.  Park my hatchback up against trailer to stop anyone pinching it. <br>* Drive to Mum's to give her half of a lovely left-over Passionfruit Cheese Cake.  (I purchased 2 cheescakes yesterday for a treate for the office, Josh is going away for 2 months, etc). <br>* Fill the Rav 4 with fuel. <br>* Buy a new set of 3M ear muffs for use on the Bobcat. <br>* Got 60 L (3 x 20 L jerry cans) of Diesel at the farm for the Bobcat. <br> . So EVERYTHING is now ready to go ...  Excited and also terrified to be hiring a Bobcat (if anything goes wrong, I'm on my own).  Arrive at the Hire company right on 3:00 PM ... and hit a wall of issues: <br> . <br>* The bobcat was not available - it has wiring / wires catching fire issues ... <br>* The hire company could not call me because (as it turned out) there was a 1 digit error in my mobile phone number (the number Murray read out to me that I added to my phone and double checked with him a few weeks ago !!!!) <br>* They are getting another bobcat from Rocky, they left to pick it up at 2 PM, and it isn't back yet and probably wont be available tonight.  Has to be serviced / checked over.  Most likely, it will be available in the morning (Saturday) ... <br>* Thunderstorms are forecast tomorrow ... if it rains heavily over the weekend, then I wont get much done, because the lower ground - that I have to grade - gets really boggy, really fast.  Don't want to get the bobcat bogged - will cost me $$$ if I don't get it back by Monday 9 AM, and there's no way I can get it out (un-bog it) on my own, etc, etc. <br>* Hire company says I might as well go home.  Very unlikely Bobcat ready tonight, and if it is, the guy will deliver it to me (he lives nearby). <br>* So I drive home, and just get back to farm, grab a cold water, and Hire company rings - the Bobcat is here, will be ready for you to pick-up in 10 mins ... <br>* Rush back to town, see a near brand new Bobcat on a near brand new trailer - WOW. <br>* <br>* Attempt to pay the weekend Bobcat hire on my primary credit card and it would not work (Declined - Transaction not allowed on card.  What the ???) <br>* Try my backup EFTPOS card - none of my PIN numbers work (tried all the ones I use). <br>* Phone Murray - get the PIN for the motel credit card, just in case - it wont work. <br>* If I was here in my hatchback, I have cash hidden in the car - more than enough to cover the weekend Bobcat hire.  But I'm in the RAV, there's no such backup. <br>* Talk to guy, he agrees to credit card payment over phone, phone Murray and he pays. <br>* Backup Rav 4 up to Boobcat trailer and hook it on (with a forklift to help lift the front of the trailer to get the Jockey wheel down).  All is great !! <br>* Wait a sec ...  Hire guy thinks trailer is too low on back of Rav, is worried trailer will scrape on road / gutter as I exit, etc.  He shows me wires, etc the neck of the trailer and says if any of this is damaged it will be VERY expensive to fix - way more than the cost of hiring the Bobcat.  He gets second opinion from another Hire guy - he agrees.  They say ""If I want to risk it, I can go ..."".  No, no way.  If these 2 guys are worried, then I'm not going to risk it. <br>* Unhook Bobcat trailer from Rav 4 ... <br>* Hire delayed for 3 weekends - until Mum's eyes are OK again. <br>* Will need Murray's BIG 4WD in 3 weekends time. <br>* Drive back home to farm ... <br> . <br> Oh boy, what an afternoon ...."
387,Mike,"2022-02-25 22:47:38","Mum's Optus: The Optus mobile internet is slower than the motel internet (so is my mobile Telstra internet).  But this isn't the issue you are having.  The issue you are having is that you keep opening and closing stuff on your laptop and not giving it time to catch-up.  When you start up your laptop, give it a minute to finalise updates, cirus scan, check for updates, etc - make a cup of coffee while it does this.  With regard to battery devices, best to turn OFF the device and turn OFF charging at the power point over night."
386,Margaret,"2022-02-25 04:47:38","All OK -- forecast for lots of rain over the next week"
385,Margaret,"2022-02-25 04:46:21","All OK"
384,Margaret,"2022-02-25 04:45:22","All OK -- intermet connects straight away -- left it on till mid afterrnoon."
383,Margaret,"2022-02-24 07:32:07","All OK -- Optus connection much slower than I had through Kinka Palms -- Optus told me to switch off overnight to save battery -- what do Francis and Michael suggest?"
382,Mike,"2022-02-23 21:37:09","Centa work as usual.  Also, walk down to big damn with hand saw and trim vegetation and attack all lantana I see on sight.  Try and work out how I'm going to fill the potholes / run off trenches on the driveway near the Big Dam.  Throw about 2 dozens rocks in 1 hole and it made almost no difference.  Need to wait for wet weather for the ground to soften up."
381,Margaret,"2022-02-23 06:34:14","All OK -- been watching the cats and dogs videos you sent Mike -- been laughing out l;oud!"
380,Margaret,"2022-02-23 05:24:15","All OK -- quiet day ahead"
379,Mike,"2022-02-22 16:30:56","Centa work as usual.  Also mow along driveway, especially along sides, pushing back the vegetation, logs, lantana, etc as much as possible (with my big tractor) and then what's left.  Also started mowing along the power line easements and along old driveway (in very bad shape).  Until If I can clear a fire break around the boundaries of my land, I wll make sure the Central Driveway and as much of the powerline easements and old driveway are at least partially cleared for Fire Breaks."
378,Mike,"2022-02-22 16:26:56","Monday: Go up to Office Works in Rocky and swap my new office chair over to the right one (don't like lace back chairs).  New chair has a 15 year warranty !  Mind Jean from 1:00 until about 4:30 PM - was to allow Murray to do some more packing / cleanup on beach house.  However he is just so tired, he used the time for some very well deserved rest / downtime."
377,Mike,"2022-02-22 16:24:37","Sunday: Mum's house for lunch and dinner, watch some poker (Tony G Vs Phil Helmuth)."
376,Mike,"2022-02-22 16:23:49","Electricity.  We lost power here about 8 times last night, but only for about a second each time.  The lights went off, fam slowed down, and then power came back on again."
375,Margaret,"2022-02-22 06:12:14","All OK -- electricity blackout 7.30 p.m., so early night and slept through to 5 a.m. for Beau""s tablet."
374,Margaret,"2022-02-21 05:17:32","All OK -- Michael here for lunch yesterday,  watch TV with Sugar and Beau"
373,Margaret,"2022-02-21 05:08:30","All OK -- Going to a morning musical show at Pilbeam Theatre in Rockhampton -- friend Judy Goodwin picking me up with Irma and Yvonne  -- will have lunch at the Criterion Hotel before coming home."
372,Margaret,"2022-02-21 04:59:47","All OK"
371,Mike,"2022-02-19 21:17:42","Very hot day here.  Walk old driveway and take photos of the horrible state.  This old driveway was regularly graded, but was washed out during the Cyclone and has gone down hill a long way since then.  The central driveway has never been graded and only has a few bad spots near the Big Dam - so the central driveway is definitely the way to go.  Wait at front gate entrance for about 2 hours for tractor to arrive.  Speak to Mum, Murray, Francis on the phone.  Cut back weed.  Pull a bunch of logs / dead trees across old driveway to stop people trying to drive up it.  <h3>Leyland Tractor Arrives on Tilt Tray Truck:</h3> Tractor finally arrived around 11:30 AM.  Drive up very slowly powerline easement pushing dead trees over and attacking Lantana bushes in my way.  Then drive along the center section of my driveway, clearning vegetation along the sides.  Attempt to scratch up enough dirt / gravel to put into put holes near the Big Dam, but the ground is too hard - like concrete.  This big tractor with its heavy blade with metal ""stick rake"" teeth biting into the ground cannot penetrate much at all.  Hmmm ...  Still might need a bobcat - or a dozer - to try and dig up and move gravel from the sides of the track."
370,Mike,"2022-02-19 21:08:26","Friday (yesterday). Very HOT day on the road.  Drive to Bororen - about an hour south of Gladstone - to look at, test drive, and probably buy a big tractor with a heavy blade on the front.  Was asking $7,500.  I offered $5,000 subject to test drive / inspection and they accepted.  Great, strong old tractor.  Push button and it starts immediately.  No Rrrr Rrrrr Rrrrr of starter motor.  Don't need to worry about broken windows, scratches, etc on this beast.  I purchased it.  Tilt Tray truck arranged to pick it up and deliver it to me here at farm around 10-11 AM on Saturday.  Very tired when I got home."
369,Margaret,"2022-02-19 11:22:37","All OK -- coffee with friends"
368,Margaret,"2022-02-18 08:53:47","All OK -- walked dogs K5 beach -- when home I forgot to check in and cut back front bushes and hosed garden -- probably rain  and a waste of time."
