22,3,"2017-12-23 08:51:54",-1,-1,3,-1,-1,0
21,3,"2017-12-23 08:46:28",-1,-1,3,-1,-1,0
20,3,"2017-12-23 08:45:44",-1,-1,3,-1,-1,0
19,4,"2017-12-22 10:20:42",1,3,-1,-1,-1,0
17,8,"2017-12-19 19:41:00",2,0,0,-1,-1,0
16,8,"2017-12-19 17:40:00",2,0,0,-1,-1,0
13,8,"2017-12-19 20:07:00",2,0,0,-1,-1,0
12,8,"2017-12-19 20:27:32",2,0,0,-1,-1,0
11,6,"2017-12-19 15:14:13",3,0,0,-1,0,0
10,6,"2017-12-19 15:14:07",3,0,0,-1,0,0
9,8,"2017-12-19 14:01:46",3,0,0,-1,-1,0
8,8,"2017-12-18 17:10:00",0,2,0,-1,-1,0
7,8,"2017-12-18 16:35:00",0,2,0,-1,-1,0
6,8,"2017-12-18 15:35:00",0,2,0,-1,-1,0
5,9,"2017-12-18 03:35:00",2,2,3,-1,-1,0
4,9,"2017-12-18 02:30:00",2,2,3,-1,-1,0
3,9,"2017-12-18 01:30:00",2,2,3,-1,-1,0
2,9,"2017-12-17 11:55:00",2,2,3,-1,-1,0
1,9,"2017-12-17 10:30:00",2,2,3,-1,-1,0
