1,9,"2017-12-17 10:30:00",2,2,3,-1,-1
2,9,"2017-12-17 11:55:00",2,2,3,-1,-1
3,9,"2017-12-18 01:30:00",2,2,3,-1,-1
4,9,"2017-12-18 02:30:00",2,2,3,-1,-1
5,9,"2017-12-18 03:35:00",2,2,3,-1,-1
6,8,"2017-12-18 15:35:00",0,2,0,-1,-1
7,8,"2017-12-18 16:35:00",0,2,0,-1,-1
8,8,"2017-12-18 17:10:00",0,2,0,-1,-1
9,8,"2017-12-19 14:01:46",3,0,0,-1,-1
10,6,"2017-12-19 15:01:07",3,0,0,-1,0
11,6,"2017-12-19 15:14:13",3,0,0,-1,0
12,8,"2017-12-19 19:41:00",2,0,0,-1,-1
13,8,"2017-12-19 20:07:00",2,0,0,-1,-1
14,8,"2017-12-19 20:27:32",2,0,0,-1,-1
