64,12,"2018-03-28 20:35:39",3,3,2,-1,3,0
63,12,"2018-03-28 20:35:36",1,2,-1,-1,1,1
62,12,"2018-03-28 20:35:08",2,2,2,-1,2,0
61,12,"2018-03-28 20:33:15",3,-1,2,-1,-1,0
60,12,"2018-03-28 20:19:47",3,-1,2,-1,-1,0
59,12,"2018-03-11 16:33:55",0,0,-1,-1,2,0
58,11,"2018-02-26 17:12:40",3,-1,-1,-1,-1,1
57,11,"2018-02-25 17:15:50",0,1,-1,0,-1,1
56,7,"2018-02-17 17:47:18",1,-1,-1,-1,-1,1
55,7,"2018-02-17 17:42:36",2,-1,-1,-1,-1,1
54,7,"2018-02-17 15:39:34",2,2,-1,-1,-1,1
53,7,"2018-02-17 15:38:09",2,2,-1,-1,-1,1
52,6,"2018-01-26 15:58:27",0,2,-1,-1,2,1
51,6,"2018-01-26 15:56:57",0,2,-1,-1,2,0
50,9,"2018-01-05 19:28:30",2,0,0,-1,-1,1
49,9,"2018-01-05 19:13:53",2,0,0,-1,-1,1
48,12,"2017-12-31 13:45:53",0,0,0,-1,1,1
47,12,"2017-12-31 13:45:06",0,0,0,-1,1,0
46,11,"2017-12-30 16:43:22",0,1,-1,1,-1,0
45,11,"2017-12-30 16:22:23",-1,2,-1,1,-1,0
44,7,"2017-12-26 08:48:41",2,-1,0,-1,-1,1
38,3,"2017-12-24 15:19:50",0,2,-1,-1,-1,1
36,3,"2017-12-24 15:19:05",0,2,-1,-1,-1,0
26,6,"2017-12-24 14:34:06",-1,2,2,-1,-1,1
23,6,"2017-12-24 14:12:16",0,2,2,-1,-1,0
22,3,"2017-12-23 08:51:54",-1,-1,3,-1,-1,1
21,3,"2017-12-23 08:46:28",-1,-1,3,-1,-1,0
20,3,"2017-12-23 08:45:44",-1,-1,3,-1,-1,0
17,8,"2017-12-19 19:41:00",2,0,0,-1,-1,1
16,8,"2017-12-19 17:40:00",2,0,0,-1,-1,0
13,8,"2017-12-19 20:07:00",2,0,0,-1,-1,0
12,8,"2017-12-19 20:27:32",2,0,0,-1,-1,1
11,6,"2017-12-19 15:14:13",3,0,0,-1,0,0
10,6,"2017-12-19 15:14:07",3,0,0,-1,0,0
9,8,"2017-12-19 14:01:46",3,0,0,-1,-1,0
8,8,"2017-12-18 17:10:00",0,2,0,-1,-1,1
7,8,"2017-12-18 16:35:00",0,2,0,-1,-1,0
6,8,"2017-12-18 15:35:00",0,2,0,-1,-1,0
5,9,"2017-12-18 03:35:00",2,2,3,-1,-1,1
4,9,"2017-12-18 02:30:00",2,2,3,-1,-1,0
3,9,"2017-12-18 01:30:00",2,2,3,-1,-1,0
2,9,"2017-12-17 11:55:00",2,2,3,-1,-1,0
1,9,"2017-12-17 10:30:00",2,2,3,-1,-1,0
